"","ID","jab","ext","int","red","jab_ex","jab_in","jab_re","province"
"22722",22722,0.83362618,0,0,0,0,0,0,"Huesca"
"13256",13256,0.124045384,0.609189807,0.397475438,0.554038901,0.075567184,0.049304993,0.068725968,"Avila"
"19393",19393,0.682249612,0,0,0,0,0,0,"Lleida"
"19123",19123,0.62022692,0,1.987377189,0,0,1.232624832,0,"Huesca"
"2035",2035,0.372136152,0,0.397475438,0,0,0.14791498,0,"Huelva"
"11450",11450,1.922703451,0,0,0,0,0,0,"Toledo"
"20376",20376,1.612589991,0,0,0,0,0,0,"Lleida"
"11754",11754,0.992363071,0,0.397475438,0,0,0.394439946,0,"Toledo"
"13777",13777,1.488544607,0,0,0,0,0,0,"Guadalajara"
"1505",1505,0.434158844,0,0,0,0,0,0,"Granada"
"16647",16647,0.403147498,0,0,0,0,0,0,"Zaragoza"
"25116",25116,0.031011346,0,0,3.878272305,0,0,0.120270444,"Lugo"
"2058",2058,0,0,0,0,0,0,0,"Sevilla"
"5001",5001,0.031011346,0,0,0,0,0,0,"Badajoz"
"12177",12177,0.403147498,0,0,0,0,0,0,"Avila"
"13237",13237,1.240453839,0.609189807,1.192426313,0,0.755671835,1.479149799,0,"Salamanca"
"13979",13979,0.248090768,0,0.397475438,0,0,0.098609987,0,"Teruel"
"23581",23581,1.891692105,0,0.794950876,2.216155603,0,1.503802295,4.192284057,"Lugo"
"16212",16212,0.093034038,0,2.782328065,1.108077801,0,0.258851215,0.103088952,"Zamora"
"18578",18578,0.372136152,0,0,0,0,0,0,"Burgos"
"22432",22432,0.372136152,0,0,0,0,0,0,"La_Rioja"
"7177",7177,0.186068076,0,0,0,0,0,0,"Albacete"
"12993",12993,1.116408455,0,0,0,0,0,0,"Guadalajara"
"6667",6667,2.85304383,0,0,0,0,0,0,"Ciudad_Real"
"13585",13585,0.186068076,0,0,0.554038901,0,0,0.103088952,"Segovia"
"25478",25478,0.837306342,0,0,0,0,0,0,"Asturias"
"1083",1083,0.558204228,0,0,0,0,0,0,"Granada"
"5561",5561,0.31011346,1.827569422,3.179803502,6.094427907,0.566753876,0.986099866,1.889964124,"Badajoz"
"18412",18412,0.682249612,0,2.782328065,0,0,1.898242241,0,"Huesca"
"10291",10291,1.891692105,0,0,0,0,0,0,"Toledo"
"12847",12847,1.891692105,0,0,0,0,0,0,"Cuenca"
"16535",16535,1.612589991,0,0,0,0,0,0,"Tarragona"
"25383",25383,1.829669413,0.609189807,0,0,1.114615957,0,0,"Guipuzcoa"
"2876",2876,0.062022692,0,0,0,0,0,0,"Jaen"
"21514",21514,0,0,0,0,0,0,0,"Burgos"
"7519",7519,3.31821402,0,0,0,0,0,0,"Badajoz"
"10582",10582,0,0,6.757082443,0,0,0,0,"Toledo"
"23662",23662,0.682249612,0,0,0.554038901,0,0,0.377992825,"Burgos"
"20629",20629,0.320176666,0,0,0,0,0,0,"Lleida"
"15615",15615,0.279102114,0,0,0,0,0,0,"Zaragoza"
"8818",8818,1.519555953,0,0,0,0,0,0,"Caceres"
"734",734,0.279102114,0,0,0,0,0,0,"Almeria"
"17015",17015,0.031011346,0,0,0,0,0,0,"Zaragoza"
"435",435,0.031011346,0,0,0,0,0,0,"Malaga"
"3806",3806,3.845406902,0,0,0,0,0,0,"Cordoba"
"21588",21588,1.054385763,0,0,0,0,0,0,"Huesca"
